Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
171010_Ip_Hela_ugi	320	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	321	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	322	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	323	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	324	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	325	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	326	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	327	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	328	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	329	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	330	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	331	5.807	0.2868	0.03571	0	0.001786	0	0	0.002857	0	0
171010_Ip_Hela_ugi	332	11.61	0.5736	0.07143	0	0.003571	0	0	0.005714	0	0
171010_Ip_Hela_ugi	333	17.42	0.8604	0.1071	0	0.005357	0	0	0.008571	0	0
171010_Ip_Hela_ugi	334	23.23	1.147	0.1429	0	0.007143	0	0	0.01143	0	0
171010_Ip_Hela_ugi	335	29.04	1.434	0.1786	0	0.008929	0	0	0.01429	0	0
171010_Ip_Hela_ugi	336	34.84	1.721	0.2143	0	0.01071	0	0	0.01714	0	0
171010_Ip_Hela_ugi	337	40.65	2.007	0.25	0	0.0125	0	0	0.02	0	0
171010_Ip_Hela_ugi	338	46.46	2.294	0.2857	0	0.01429	0	0	0.02286	0	0
171010_Ip_Hela_ugi	339	52.26	2.581	0.3214	0	0.01607	0	0	0.02571	0	0
171010_Ip_Hela_ugi	340	58.07	2.868	0.3571	0	0.01786	0	0	0.02857	0	0
171010_Ip_Hela_ugi	341	63.88	3.155	0.3929	0	0.01964	0	0	0.03143	0	0
171010_Ip_Hela_ugi	342	69.69	3.441	0.4286	0	0.02143	0	0	0.03429	0	0
171010_Ip_Hela_ugi	343	75.49	3.728	0.4643	0	0.02321	0	0	0.03714	0	0
171010_Ip_Hela_ugi	344	81.3	4.015	0.5	0	0.025	0	0	0.04	0	0
171010_Ip_Hela_ugi	345	87.11	4.302	0.5357	0	0.02679	0	0	0.04286	0	0
171010_Ip_Hela_ugi	346	92.91	4.589	0.5714	0	0.02857	0	0	0.04571	0	0
171010_Ip_Hela_ugi	347	98.72	4.875	0.6071	0	0.03036	0	0	0.04857	0	0
171010_Ip_Hela_ugi	348	104.5	5.162	0.6429	0	0.03214	0	0	0.05143	0	0
171010_Ip_Hela_ugi	349	110.3	5.449	0.6786	0	0.03393	0	0	0.05429	0	0
171010_Ip_Hela_ugi	350	116.1	5.736	0.7143	0	0.03571	0	0	0.05714	0	0
171010_Ip_Hela_ugi	351	123	6.074	0.7857	0	0.03929	0	0	0.05821	0	0
171010_Ip_Hela_ugi	352	130	6.411	0.8571	0	0.04286	0	0	0.05929	0	0
171010_Ip_Hela_ugi	353	136.9	6.749	0.9286	0	0.04643	0	0	0.06036	0	0
171010_Ip_Hela_ugi	354	143.8	7.087	1	0	0.05	0	0	0.06143	0	0
171010_Ip_Hela_ugi	355	150.7	7.425	1.071	0	0.05357	0	0	0.0625	0	0
171010_Ip_Hela_ugi	356	157.6	7.763	1.143	0	0.05714	0	0	0.06357	0	0
171010_Ip_Hela_ugi	357	164.5	8.101	1.214	0	0.06071	0	0	0.06464	0	0
171010_Ip_Hela_ugi	358	171.4	8.439	1.286	0	0.06429	0	0	0.06571	0	0
171010_Ip_Hela_ugi	359	178.3	8.776	1.357	0	0.06786	0	0	0.06679	0	0
171010_Ip_Hela_ugi	360	185.2	9.114	1.429	0	0.07143	0	0	0.06786	0	0
171010_Ip_Hela_ugi	361	192.1	9.452	1.5	0	0.075	0	0	0.06893	0	0
171010_Ip_Hela_ugi	362	199	9.79	1.571	0	0.07857	0	0	0.07	0	0
171010_Ip_Hela_ugi	363	205.9	10.13	1.643	0	0.08214	0	0	0.07107	0	0
171010_Ip_Hela_ugi	364	212.8	10.47	1.714	0	0.08571	0	0	0.07214	0	0
171010_Ip_Hela_ugi	365	219.8	10.8	1.786	0	0.08929	0	0	0.07321	0	0
171010_Ip_Hela_ugi	366	226.7	11.14	1.857	0	0.09286	0	0	0.07429	0	0
171010_Ip_Hela_ugi	367	233.6	11.48	1.929	0	0.09643	0	0	0.07536	0	0
171010_Ip_Hela_ugi	368	240.5	11.82	2	0	0.1	0	0	0.07643	0	0
171010_Ip_Hela_ugi	369	247.4	12.15	2.071	0	0.1036	0	0	0.0775	0	0
171010_Ip_Hela_ugi	370	254.3	12.49	2.143	0	0.1071	0	0	0.07857	0	0
171010_Ip_Hela_ugi	371	262.3	12.88	2.25	0	0.1125	0	0	0.08286	0	0
171010_Ip_Hela_ugi	372	270.2	13.27	2.357	0	0.1179	0	0	0.08714	0	0
171010_Ip_Hela_ugi	373	278.2	13.66	2.464	0	0.1232	0	0	0.09143	0	0
171010_Ip_Hela_ugi	374	286.2	14.04	2.571	0	0.1286	0	0	0.09571	0	0
171010_Ip_Hela_ugi	375	294.1	14.43	2.679	0	0.1339	0	0	0.1	0	0
171010_Ip_Hela_ugi	376	302.1	14.82	2.786	0	0.1393	0	0	0.1043	0	0
171010_Ip_Hela_ugi	377	310.1	15.21	2.893	0	0.1446	0	0	0.1086	0	0
171010_Ip_Hela_ugi	378	318.1	15.6	3	0	0.15	0	0	0.1129	0	0
171010_Ip_Hela_ugi	379	326	15.98	3.107	0	0.1554	0	0	0.1171	0	0
171010_Ip_Hela_ugi	380	334	16.37	3.214	0	0.1607	0	0	0.1214	0	0
171010_Ip_Hela_ugi	381	342	16.76	3.321	0	0.1661	0	0	0.1257	0	0
171010_Ip_Hela_ugi	382	349.9	17.15	3.429	0	0.1714	0	0	0.13	0	0
171010_Ip_Hela_ugi	383	357.9	17.53	3.536	0	0.1768	0	0	0.1343	0	0
171010_Ip_Hela_ugi	384	365.9	17.92	3.643	0	0.1821	0	0	0.1386	0	0
171010_Ip_Hela_ugi	385	373.9	18.31	3.75	0	0.1875	0	0	0.1429	0	0
171010_Ip_Hela_ugi	386	381.8	18.7	3.857	0	0.1929	0	0	0.1471	0	0
171010_Ip_Hela_ugi	387	389.8	19.09	3.964	0	0.1982	0	0	0.1514	0	0
171010_Ip_Hela_ugi	388	397.8	19.47	4.071	0	0.2036	0	0	0.1557	0	0
171010_Ip_Hela_ugi	389	405.7	19.86	4.179	0	0.2089	0	0	0.16	0	0
171010_Ip_Hela_ugi	390	413.7	20.25	4.286	0	0.2143	0	0	0.1643	0	0
171010_Ip_Hela_ugi	391	420.3	20.58	4.286	0	0.2143	0	0	0.1675	0	0
171010_Ip_Hela_ugi	392	426.8	20.91	4.286	0	0.2143	0	0	0.1707	0	0
171010_Ip_Hela_ugi	393	433.4	21.23	4.286	0	0.2143	0	0	0.1739	0	0
171010_Ip_Hela_ugi	394	440	21.56	4.286	0	0.2143	0	0	0.1771	0	0
171010_Ip_Hela_ugi	395	446.5	21.89	4.286	0	0.2143	0	0	0.1804	0	0
171010_Ip_Hela_ugi	396	453.1	22.22	4.286	0	0.2143	0	0	0.1836	0	0
171010_Ip_Hela_ugi	397	459.7	22.55	4.286	0	0.2143	0	0	0.1868	0	0
171010_Ip_Hela_ugi	398	466.2	22.88	4.286	0	0.2143	0	0	0.19	0	0
171010_Ip_Hela_ugi	399	472.8	23.2	4.286	0	0.2143	0	0	0.1932	0	0
171010_Ip_Hela_ugi	400	479.4	23.53	4.286	0	0.2143	0	0	0.1964	0	0
171010_Ip_Hela_ugi	401	485.9	23.86	4.286	0	0.2143	0	0	0.1996	0	0
171010_Ip_Hela_ugi	402	492.5	24.19	4.286	0	0.2143	0	0	0.2029	0	0
171010_Ip_Hela_ugi	403	499	24.52	4.286	0	0.2143	0	0	0.2061	0	0
171010_Ip_Hela_ugi	404	505.6	24.84	4.286	0	0.2143	0	0	0.2093	0	0
171010_Ip_Hela_ugi	405	512.2	25.17	4.286	0	0.2143	0	0	0.2125	0	0
171010_Ip_Hela_ugi	406	518.7	25.5	4.286	0	0.2143	0	0	0.2157	0	0
171010_Ip_Hela_ugi	407	525.3	25.83	4.286	0	0.2143	0	0	0.2189	0	0
171010_Ip_Hela_ugi	408	531.9	26.16	4.286	0	0.2143	0	0	0.2221	0	0
171010_Ip_Hela_ugi	409	538.4	26.49	4.286	0	0.2143	0	0	0.2254	0	0
171010_Ip_Hela_ugi	410	545	26.81	4.286	0	0.2143	0	0	0.2286	0	0
171010_Ip_Hela_ugi	411	549.6	27.04	4.286	0	0.2143	0	0	0.2307	0	0
171010_Ip_Hela_ugi	412	554.1	27.27	4.286	0	0.2143	0	0	0.2329	0	0
171010_Ip_Hela_ugi	413	558.7	27.5	4.286	0	0.2143	0	0	0.235	0	0
171010_Ip_Hela_ugi	414	563.3	27.73	4.286	0	0.2143	0	0	0.2371	0	0
171010_Ip_Hela_ugi	415	567.9	27.96	4.286	0	0.2143	0	0	0.2393	0	0
171010_Ip_Hela_ugi	416	572.4	28.19	4.286	0	0.2143	0	0	0.2414	0	0
171010_Ip_Hela_ugi	417	577	28.41	4.286	0	0.2143	0	0	0.2436	0	0
171010_Ip_Hela_ugi	418	581.6	28.64	4.286	0	0.2143	0	0	0.2457	0	0
171010_Ip_Hela_ugi	419	586.1	28.87	4.286	0	0.2143	0	0	0.2479	0	0
171010_Ip_Hela_ugi	420	590.7	29.1	4.286	0	0.2143	0	0	0.25	0	0
171010_Ip_Hela_ugi	421	595.3	29.33	4.286	0	0.2143	0	0	0.2521	0	0
171010_Ip_Hela_ugi	422	599.9	29.56	4.286	0	0.2143	0	0	0.2543	0	0
171010_Ip_Hela_ugi	423	604.4	29.79	4.286	0	0.2143	0	0	0.2564	0	0
171010_Ip_Hela_ugi	424	609	30.01	4.286	0	0.2143	0	0	0.2586	0	0
