Scan	BasePeak	RT	MaxIntensity	CumulativeIntensity
368	430.889343261719	3.33171666666667	42709.88671875	26468237.9017029
369	430.889251708984	3.34125666666667	59184.7109375	26563801.6590271
370	430.889434814453	3.35108666666667	50412.8046875	26643060.8900452
371	430.888977050781	3.360135	42031.37109375	26712176.1985779
372	430.888885498047	3.36965333333333	49080.23046875	26788174.6713562
373	430.889251708984	3.37914333333333	48166.796875	26863673.5419617
374	430.889251708984	3.38869666666667	55141.21484375	26950464.3068542
375	430.889251708984	3.39825	43190.703125	27021001.459259
376	430.88916015625	3.40774833333333	48975.81640625	27100713.6630554
377	430.888977050781	3.41757833333333	49999.86328125	27185308.5736389
378	430.889434814453	3.42661	53243.765625	27271648.2496033
379	430.889434814453	3.43588666666667	48827.1796875	27347392.1455994
380	430.888977050781	3.4453	54077.5625	27435828.3440247
381	430.888732910156	3.45482166666667	42700.390625	27501110.8080139
382	430.888977050781	3.46438666666667	46786.75390625	27575472.6749573
383	430.888885498047	3.47371166666667	46913.60546875	27649420.7507019
384	430.889068603516	3.48347	45764.4921875	27720185.3018494
385	430.88916015625	3.49259666666667	56109.84375	27807119.0713196
386	430.889251708984	3.50217833333333	42031.953125	27872733.0500183
388	430.88916015625	3.51529666666667	41469.23046875	27935794.8323364
389	430.888977050781	3.524425	41628.80859375	28002512.8051147
390	430.889343261719	3.53395666666667	44622.75	28075705.4168701
393	430.889434814453	3.55087	61676.53125	28169001.963623
394	430.889251708984	3.55998	45299.609375	28239921.9255371
395	430.889068603516	3.56965833333333	35356.8125	28297939.7590332
396	430.889251708984	3.57928666666667	38628.58984375	28364215.5987549
397	430.889434814453	3.588845	36233.828125	28421867.7251587
398	430.888977050781	3.59835333333333	41299.6171875	28489180.6205444
400	430.889556884766	3.611355	82159.5546875	28621995.2800903
402	430.888641357422	3.625095	95563.1328125	28777744.1681519
403	430.888641357422	3.633985	86723.15625	28917225.9822998
404	430.888641357422	3.64393833333333	90567.9609375	29058974.0511475
405	430.888641357422	3.65333333333333	83435.4453125	29189412.7680664
406	430.88916015625	3.66264166666667	99354.546875	29350689.1460571
407	430.88916015625	3.67309666666667	110002.71875	29529384.0583496
408	430.889038085938	3.68391333333333	91870.9765625	29680838.5473938
409	430.889068603516	3.694075	92626.3828125	29824180.209198
410	430.889282226563	3.7046	80898.109375	29955303.6327209
411	430.889129638672	3.715045	89480.5703125	30094723.893219
412	430.88916015625	3.72556	82978.171875	30224573.6716919
413	430.889465332031	3.73603166666667	80914.953125	30350658.2476501
414	430.8896484375	3.74657833333333	63050.1328125	30447971.6800842
415	430.889282226563	3.75711833333333	82651.1953125	30578670.3296814
416	430.889251708984	3.767515	89493.4921875	30724137.3518677
417	430.889251708984	3.77799833333333	88893.9609375	30872999.1760254
418	430.889068603516	3.78852666666667	90522.2265625	31017504.0427856
419	430.889099121094	3.79898833333333	85747.0390625	31155349.5232544
420	430.889038085938	3.80948	84319.3515625	31292633.4967041
421	430.888458251953	3.81996166666667	95341.453125	31444130.3880615
422	430.889129638672	3.829925	77277.2578125	31563072.0155334
423	430.889190673828	3.84034833333333	89449.1875	31706660.9000244
424	430.889251708984	3.851165	110135.6484375	31881880.6395569
425	430.889190673828	3.86133	100362.4765625	32046430.6577454
426	430.889099121094	3.87189166666667	88585.59375	32188002.6376953
427	430.889190673828	3.88233	90423.359375	32333284.9450684
428	430.889343261719	3.89282	111865.1953125	32514339.0261536
429	430.889099121094	3.903325	97757.984375	32674213.563324
430	430.889068603516	3.91384333333333	97694.90625	32831788.1282959
431	430.890075683594	3.92438666666667	56919.98828125	32923754.2818604
432	430.889251708984	3.93477166666667	87538.140625	33063949.8404846
433	430.889007568359	3.945275	106790.109375	33237222.8840637
434	430.889190673828	3.95580333333333	69512.640625	33348224.3765869
435	430.889862060547	3.96626666666667	73942.578125	33465755.1952209
437	430.889099121094	3.98027	100315.484375	33624211.2984314
438	430.889007568359	3.99028	92367.6875	33773822.1516724
439	430.888946533203	4.00073666666667	99608.5390625	33936264.4980469
440	430.889129638672	4.01120166666667	100801.140625	34097430.2004395
441	430.888916015625	4.02170333333333	110149.578125	34270774.1525879
442	430.888977050781	4.03224666666667	101982.3046875	34436513.3189697
443	430.889434814453	4.04271	71683.2109375	34551069.0610046
444	430.888977050781	4.05316333333333	52534.73046875	34632434.1269836
445	430.888732910156	4.06289333333333	49379.0546875	34708057.5400085
446	430.888732910156	4.072705	50549.51171875	34782219.9075623
447	430.888641357422	4.08239166666667	48399.390625	34855957.8075256
448	430.888885498047	4.09215166666667	57051.8828125	34944093.6020203
449	430.888793945313	4.10174666666667	49285.19140625	35024393.8859558
450	430.888793945313	4.11149	53338.078125	35108496.2165222
451	430.888793945313	4.12110833333333	45568.64453125	35180583.2947693
454	430.888732910156	4.13808333333333	46071.4765625	35256093.617157
455	430.889251708984	4.14735333333333	40649.3046875	35318787.1264954
456	430.888366699219	4.157	114697.0859375	35501515.8279114
457	430.888885498047	4.16661166666667	60881.88671875	35593236.5340881
459	430.888793945313	4.17992333333333	48088.19140625	35669517.3903503
460	430.88916015625	4.18926833333333	46248.1640625	35744018.1476135
461	430.888732910156	4.19905	49771.48828125	35824210.8106384
463	430.888793945313	4.212485	50289.9921875	35908312.131134
464	430.889343261719	4.22164166666667	55787.12890625	35997823.1382141
465	430.889556884766	4.23122333333333	86765.5078125	36137967.8215027
466	430.889068603516	4.24170166666667	63091.19921875	36244284.4741516
467	430.889343261719	4.25125833333333	61104.125	36337096.2799377
468	430.888977050781	4.260935	59529.76171875	36429194.6911316
471	430.888885498047	4.27753666666667	44656.8984375	36497588.0896301
472	430.889526367188	4.28693833333333	44641.9296875	36570145.1559143
473	430.88916015625	4.296975	40396.09375	36636560.9910889
474	430.888885498047	4.30689	38412.25	36696211.8168335
475	430.888885498047	4.31712166666667	45203.8828125	36768223.8973999
476	430.889343261719	4.326605	39616.921875	36833967.5914917
477	430.888977050781	4.33656666666667	36363.70703125	36889685.056488
478	430.888977050781	4.34646333333333	39311.0625	36952419.7342834
479	430.888977050781	4.356315	39597.390625	37014824.3667297
480	430.889343261719	4.366145	44915.53125	37085556.430542
483	430.888793945313	4.38312166666667	34367.19921875	37136438.4277954
484	430.888885498047	4.39256166666667	57721.90625	37226145.5178833
486	430.88916015625	4.40599	36300.7109375	37285378.6084595
487	430.888885498047	4.415525	39887.0078125	37347932.3766174
488	430.88916015625	4.42551833333333	39728.21484375	37415217.8398743
490	430.888977050781	4.43908833333333	42919.20703125	37488216.7695313
493	430.888885498047	4.45579666666667	50450.05859375	37564412.4428101
494	430.889526367188	4.46511166666667	62786.3125	37663705.6925659
495	430.889068603516	4.47491333333333	84588.71875	37796361.9751282
496	430.889343261719	4.48510166666667	57679.625	37886046.427063
497	430.888793945313	4.49472833333333	50212.18359375	37963392.6950684
498	430.889343261719	4.50475	55025.4765625	38050882.045166
499	430.889068603516	4.51463	51714.08203125	38135786.8847961
500	430.889068603516	4.52449333333333	55009.8984375	38222389.7970276
503	430.888885498047	4.541435	60972.78125	38322096.5070496
505	430.889251708984	4.55464	130235.984375	38526750.3219604
506	430.889221191406	4.56465166666667	111803.6953125	38701226.3959351
507	430.889251708984	4.575105	107275.953125	38873198.9958496
508	430.889190673828	4.58559833333333	90764.375	39024471.4389648
510	430.889282226563	4.59963666666667	87444.703125	39163671.3493347
511	430.8896484375	4.609695	53634.50390625	39247009.5958252
