MZ	sumIntensity
1321.984	2994
873.129	2992
855.124	2986
870.658	2983
651.213	2980
619.656	2978
767.628	2976
637.498	2961
859.648	2959
804.623	2955
661.727	2950
712.346	2948
770.752	2948
816.653	2947
954.79	2947
760.704	2943
761.544	2939
520.142	2930
460.66	2928
844.192	2927
765.731	2926
672.802	2925
773.717	2922
571.589	2921
603.245	2920
789.763	2918
555.614	2918
799.171	2913
781.399	2912
656.789	2912
668.52	2911
840.753	2910
783.702	2908
886.152	2907
755.737	2907
730.747	2904
710.76	2903
776.682	2902
647.187	2902
741.23	2902
797.894	2902
943.168	2899
772.669	2898
449.752	2895
1019.075	2894
766.654	2889
778.687	2886
813.644	2884
789.704	2883
818.762	2883
716.533	2882
886.095	2880
692.237	2879
791.63	2879
681.527	2878
914.094	2876
601.746	2875
963.671	2874
689.698	2874
689.793	2871
1007.159	2870
796.628	2870
757.753	2869
656.319	2865
575.652	2865
910.107	2864
852.657	2863
783.143	2859
718.641	2858
750.706	2857
868.687	2857
735.742	2855
940.593	2852
814.658	2852
663.639	2852
694.737	2851
766.194	2851
704.675	2851
688.74	2847
675.4	2847
456.702	2846
782.728	2846
705.739	2843
877.1	2838
805.739	2837
795.222	2837
859.123	2836
909.185	2835
589.701	2834
750.717	2833
742.732	2833
701.366	2832
580.827	2831
755.695	2830
715.291	2830
815.792	2829
684.722	2827
774.728	2826
832.738	2826
548.723	2826
816.644	2825
852.108	2825
943.11	2824
773.147	2824
654.747	2823
711.167	2821
758.32	2820
774.3	2818
923.636	2814
548.851	2814
855.731	2812
873.348	2811
763.781	2811
799.209	2810
669.179	2808
763.763	2808
723.736	2807
840.74	2807
696.739	2807
677.656	2807
795.613	2805
646.77	2805
777.216	2804
624.809	2803
887.656	2802
819.689	2801
660.514	2801
956.06	2799
727.208	2798
734.301	2798
692.696	2797
680.206	2797
1059.572	2796
591.791	2796
709.764	2795
806.113	2795
769.751	2795
811.754	2794
833.683	2794
800.621	2794
706.767	2793
731.847	2793
849.633	2792
615.814	2790
693.55	2788
824.198	2785
801.169	2785
969.596	2785
700.158	2785
920.703	2784
768.302	2781
554.814	2780
829.178	2780
702.798	2779
764.136	2778
854.604	2778
844.694	2778
473.685	2778
718.792	2776
756.2	2775
684.689	2775
870.714	2774
663.747	2772
802.682	2772
697.653	2771
644.707	2771
755.208	2770
617.638	2769
711.722	2767
908.662	2767
733.581	2767
863.691	2766
685.24	2766
850.653	2764
832.701	2764
803.689	2762
853.212	2761
676.776	2760
775.707	2760
616.66	2760
470.734	2760
816.682	2758
987.616	2758
815.401	2757
831.617	2756
625.2	2756
740.684	2755
754.672	2754
845.749	2754
832.125	2752
802.662	2750
917.091	2749
683.588	2749
423.708	2749
617.778	2748
866.634	2747
595.807	2747
860.173	2746
1009.147	2745
941.641	2744
1020.055	2744
779.648	2744
870.176	2744
684.22	2744
1035.111	2744
864.677	2743
909.363	2742
693.725	2741
