Scan	ContainScans	BasePeak	MaxIntensity	RT	MostIntenseMass2Charge	CumulativeIntensity	TotalScans
371	708	430.888977050781	42031	3.360135	430.889282226563	26130312	27502
372	618	430.888885498047	49080	3.36965333333333	430.889221191406	26205660	27668
373	585	430.889251708984	48166	3.37914333333333	430.889221191406	26279431	27826
374	677	430.889251708984	55141	3.38869666666667	430.889465332031	26363645	28002
375	631	430.889251708984	43190	3.39825	430.889587402344	26432270	28166
376	677	430.88916015625	48975	3.40774833333333	430.889526367188	26510284	28352
377	591	430.888977050781	49999	3.41757833333333	430.889404296875	26592921	28530
378	640	430.889434814453	53243	3.42661	430.889495849609	26676084	28734
379	596	430.889434814453	48827	3.43588666666667	430.889434814453	26750447	28902
380	555	430.888977050781	54077	3.4453	430.889190673828	26836916	29053
381	588	430.888732910156	42700	3.45482166666667	430.889282226563	26900772	29192
382	564	430.888977050781	46786	3.46438666666667	430.889251708984	26972978	29356
383	563	430.888885498047	46913	3.47371166666667	430.889190673828	27045534	29490
384	686	430.889068603516	45764	3.48347	430.889404296875	27114906	29656
385	463	430.88916015625	56109	3.49259666666667	430.889373779297	27200589	29807
386	615	430.889251708984	42031	3.50217833333333	430.889373779297	27264313	29944
388	551	430.88916015625	41469	3.51529666666667	430.889251708984	27325123	30081
389	548	430.888977050781	41628	3.524425	430.889251708984	27389569	30232
390	600	430.889343261719	44622	3.53395666666667	430.889373779297	27461300	30379
393	507	430.889434814453	61676	3.55087	430.889373779297	27553402	30507
394	547	430.889251708984	45299	3.55998	430.889373779297	27622870	30652
395	571	430.889068603516	35356	3.56965833333333	430.889312744141	27679743	30787
396	760	430.889251708984	38628	3.57928666666667	430.889434814453	27743555	30951
397	591	430.889434814453	36233	3.588845	430.889434814453	27800474	31095
398	550	430.888977050781	41299	3.59835333333333	430.889465332031	27865333	31233
400	505	430.889556884766	82159	3.611355	430.889587402344	27996579	31299
402	418	430.888641357422	95563	3.625095	430.888671875	28151531	31374
403	399	430.888641357422	86723	3.633985	430.888641357422	28290010	31449
404	378	430.888641357422	90567	3.64393833333333	430.888580322266	28429538	31529
405	390	430.888641357422	83435	3.65333333333333	430.888702392578	28558398	31623
406	537	430.88916015625	99354	3.66264166666667	430.889129638672	28717901	31678
407	399	430.88916015625	110002	3.67309666666667	430.889190673828	28894600	31739
408	516	430.889038085938	91870	3.68391333333333	430.889007568359	29043637	31796
409	456	430.889068603516	92626	3.694075	430.889129638672	29186475	31851
