bin	frequency_per_min	period_min	magnitude
332	30.875042	0.0324	1437.67
333	30.968039	0.0323	305.83
334	31.061036	0.0322	243.48
335	31.154034	0.0321	1142.07
336	31.247031	0.0320	446.43
337	31.340028	0.0319	642.41
338	31.433025	0.0318	710.05
339	31.526022	0.0317	748.09
340	31.619019	0.0316	910.04
341	31.712016	0.0315	1316.98
342	31.805013	0.0314	1150.92
343	31.898010	0.0313	1652.72
344	31.991008	0.0313	1229.97
345	32.084005	0.0312	1806.86
346	32.177002	0.0311	1923.47
347	32.269999	0.0310	2850.98
348	32.362996	0.0309	599.39
349	32.455993	0.0308	989.27
350	32.548990	0.0307	1751.23
351	32.641987	0.0306	1175.13
352	32.734985	0.0305	1716.79
353	32.827982	0.0305	1753.56
354	32.920979	0.0304	660.73
355	33.013976	0.0303	246.99
356	33.106973	0.0302	1471.03
357	33.199970	0.0301	658.90
358	33.292967	0.0300	656.43
359	33.385964	0.0300	1061.28
360	33.478961	0.0299	567.63
361	33.571959	0.0298	1025.91
362	33.664956	0.0297	799.55
363	33.757953	0.0296	983.81
364	33.850950	0.0295	115.39
365	33.943947	0.0295	889.56
366	34.036944	0.0294	1180.23
367	34.129941	0.0293	1545.10
368	34.222938	0.0292	1114.74
369	34.315935	0.0291	1207.00
370	34.408933	0.0291	808.91
371	34.501930	0.0290	587.56
372	34.594927	0.0289	2328.91
373	34.687924	0.0288	886.76
374	34.780921	0.0288	1265.16
375	34.873918	0.0287	1138.07
376	34.966915	0.0286	2063.19
377	35.059912	0.0285	1096.55
378	35.152910	0.0284	1304.93
379	35.245907	0.0284	621.64
380	35.338904	0.0283	405.45
381	35.431901	0.0282	851.22
382	35.524898	0.0281	830.26
383	35.617895	0.0281	909.47
384	35.710892	0.0280	358.42
385	35.803889	0.0279	2179.13
386	35.896886	0.0279	884.27
387	35.989884	0.0278	1314.00
388	36.082881	0.0277	806.57
389	36.175878	0.0276	1153.77
390	36.268875	0.0276	536.03
391	36.361872	0.0275	496.71
392	36.454869	0.0274	1998.54
393	36.547866	0.0274	674.10
394	36.640863	0.0273	1698.32
395	36.733860	0.0272	1677.05
396	36.826858	0.0272	440.47
397	36.919855	0.0271	365.61
398	37.012852	0.0270	474.65
399	37.105849	0.0269	1388.65
400	37.198846	0.0269	1291.63
401	37.291843	0.0268	1180.35
402	37.384840	0.0267	2145.88
403	37.477837	0.0267	395.21
404	37.570835	0.0266	267.21
