BasePeak(1221points)	RT	Intensity
1107	582.098	415
1108	582.359	66111
1109	582.909	62683
1110	583.450	290
1111	583.666	272
1112	583.924	108179
1113	584.486	110064
1114	585.135	110231
1115	585.748	109016
1116	586.374	107233
1117	587.004	103242
1118	587.634	104750
1119	588.266	94792
1120	588.893	80405
1121	589.521	52622
1122	590.106	45282
1123	590.653	86
1124	590.918	78602
1125	591.516	78959
1126	592.146	78914
1127	592.778	83653
1128	593.404	85245
1129	594.040	66366
1130	594.663	80410
1131	595.296	87655
1132	595.923	83091
1133	596.554	88644
1134	597.183	99019
1135	597.815	102263
1136	598.441	93570
1137	599.070	90378
1138	599.700	88779
1139	600.333	90274
1140	600.979	100287
1141	601.588	102307
1142	602.218	103172
1143	602.850	98727
1144	603.477	84344
1145	604.112	96246
1146	604.688	108
1147	604.949	95898
1148	605.549	109884
1149	606.178	91672
1150	606.754	110
1151	607.023	83225
1152	607.621	82340
1153	608.252	78156
1154	608.880	69932
1155	609.512	60680
1156	610.138	81626
1157	610.719	363
1158	610.981	62243
1159	611.582	55144
1160	612.209	73860
1161	612.790	441
1162	613.067	65608
1163	613.617	108
1164	613.892	65379
1165	614.495	68584
1166	615.139	44534
1167	615.743	91029
1168	616.369	85644
1169	616.999	109098
1170	617.628	76895
1171	618.261	44126
1172	618.887	98041
1173	619.467	96598
1174	620.049	279
1175	620.313	91323
1176	620.912	98097
1177	621.541	102238
1178	622.170	110855
1179	622.802	105227
1180	623.429	100562
1181	624.059	101230
1182	624.645	452
1183	624.908	106873
1184	625.507	113222
1185	626.136	114029
1186	626.717	385
1187	626.978	94194
1188	627.576	60624
1189	628.153	78
1190	628.420	56018
1191	628.959	58671
1192	629.482	73
1193	629.750	48595
1194	630.298	48109
1195	630.826	123
1196	631.092	92351
1197	631.690	86591
1198	632.319	103281
1199	632.949	89947
1200	633.581	88191
1201	634.209	88098
1202	634.844	95017
1203	635.467	82546
1204	636.101	99771
1205	636.725	77025
1206	637.355	41849
1207	637.934	276
1208	638.201	50349
1209	638.699	126
1210	638.964	54531
1211	639.516	48043
1212	640.099	44775
1213	640.687	48465
1214	641.268	106012
1215	641.853	83950
1216	642.482	102107
1217	643.115	100482
1218	643.742	95414
1219	644.371	85685
1220	644.958	302
