Scan,ContainScans,BasePeak,MaxIntensity,RetentionTime,MostIntenseMass2Charge,CumulativeIntensity,TotalScans
329,527,430.888732910156,32792,3.02008833333333,430.888916015625,23988625,143215
330,594,430.888549804688,39234,3.02961833333333,430.888885498047,24050468,143809
332,836,430.889251708984,39712,3.04269333333333,430.88916015625,24115457,144645
334,531,430.889617919922,62757,3.055355,430.889556884766,24215273,145176
335,577,430.889099121094,67756,3.065325,430.889099121094,24321842,145753
337,430,430.889099121094,69999,3.079415,430.889129638672,24434250,146183
338,499,430.88916015625,84648,3.08942,430.889129638672,24570190,146682
339,544,430.88916015625,72086,3.099875,430.889099121094,24683112,147226
340,516,430.88916015625,82134,3.11035833333333,430.889129638672,24815395,147742
341,572,430.888885498047,55175,3.12086666666667,430.888977050781,24902492,148314
343,523,430.888458251953,60253,3.13365666666667,430.888885498047,24999727,148837
344,561,430.888793945313,48215,3.142595,430.889099121094,25077742,149398
345,698,430.888885498047,52571,3.15206166666667,430.889099121094,25162700,150096
347,615,430.888977050781,48124,3.165055,430.889038085938,25238913,150711
349,512,430.888885498047,48013,3.17754,430.888977050781,25315805,151223
350,497,430.888732910156,57504,3.18642166666667,430.889129638672,25407818,151720
351,589,430.888885498047,45454,3.19587333333333,430.889007568359,25478380,152309
353,634,430.888977050781,45253,3.20900333333333,430.889068603516,25546811,152943
355,491,430.888732910156,42557,3.22165333333333,430.889282226563,25617107,153434
356,602,430.889251708984,37479,3.23070666666667,430.889343261719,25675235,154036
358,702,430.889434814453,41969,3.24394333333333,430.889373779297,25742272,154738
360,562,430.889434814453,45586,3.25654833333333,430.889312744141,25816547,155300
361,548,430.889068603516,79298,3.265485,430.889282226563,25939398,155848
362,704,430.889434814453,55533,3.27505833333333,430.889373779297,26027762,156552
363,668,430.888793945313,48905,3.28474333333333,430.889312744141,26102617,157220
364,611,430.888732910156,40446,3.29384833333333,430.88916015625,26173037,157831
365,605,430.889251708984,46149,3.30325333333333,430.889465332031,26248927,158436
366,626,430.889343261719,46674,3.31279,430.889434814453,26323667,159062
367,554,430.888885498047,49972,3.32225833333333,430.889343261719,26399023,159616
368,536,430.889343261719,42709,3.33171666666667,430.889404296875,26468894,160152
369,543,430.889251708984,59184,3.34125666666667,430.889495849609,26564455,160695
370,546,430.889434814453,50412,3.35108666666667,430.889526367188,26643711,161241
371,708,430.888977050781,42031,3.360135,430.889282226563,26712823,161949
372,618,430.888885498047,49080,3.36965333333333,430.889221191406,26788819,162567
373,585,430.889251708984,48166,3.37914333333333,430.889221191406,26864313,163152
374,677,430.889251708984,55141,3.38869666666667,430.889465332031,26951101,163829
375,631,430.889251708984,43190,3.39825,430.889587402344,27021635,164460
376,677,430.88916015625,48975,3.40774833333333,430.889526367188,27101344,165137
377,591,430.888977050781,49999,3.41757833333333,430.889404296875,27185934,165728
378,640,430.889434814453,53243,3.42661,430.889495849609,27272268,166368
379,596,430.889434814453,48827,3.43588666666667,430.889434814453,27348010,166964
380,555,430.888977050781,54077,3.4453,430.889190673828,27436443,167519
381,588,430.888732910156,42700,3.45482166666667,430.889282226563,27501723,168107
382,564,430.888977050781,46786,3.46438666666667,430.889251708984,27576082,168671
383,563,430.888885498047,46913,3.47371166666667,430.889190673828,27650028,169234
384,686,430.889068603516,45764,3.48347,430.889404296875,27720791,169920
385,463,430.88916015625,56109,3.49259666666667,430.889373779297,27807722,170383
386,615,430.889251708984,42031,3.50217833333333,430.889373779297,27873331,170998
388,551,430.88916015625,41469,3.51529666666667,430.889251708984,27936389,171549
389,548,430.888977050781,41628,3.524425,430.889251708984,28003102,172097
390,600,430.889343261719,44622,3.53395666666667,430.889373779297,28076292,172697
393,507,430.889434814453,61676,3.55087,430.889373779297,28169587,173204
394,547,430.889251708984,45299,3.55998,430.889373779297,28240504,173751
395,571,430.889068603516,35356,3.56965833333333,430.889312744141,28298520,174322
396,760,430.889251708984,38628,3.57928666666667,430.889434814453,28364793,175082
397,591,430.889434814453,36233,3.588845,430.889434814453,28422443,175673
398,550,430.888977050781,41299,3.59835333333333,430.889465332031,28489752,176223
400,505,430.889556884766,82159,3.611355,430.889587402344,28622562,176728
402,418,430.888641357422,95563,3.625095,430.888671875,28778306,177146
403,399,430.888641357422,86723,3.633985,430.888641357422,28917783,177545
404,378,430.888641357422,90567,3.64393833333333,430.888580322266,29059526,177923
405,390,430.888641357422,83435,3.65333333333333,430.888702392578,29189961,178313
406,537,430.88916015625,99354,3.66264166666667,430.889129638672,29351233,178850
407,399,430.88916015625,110002,3.67309666666667,430.889190673828,29529922,179249
408,516,430.889038085938,91870,3.68391333333333,430.889007568359,29681370,179765
409,456,430.889068603516,92626,3.694075,430.889129638672,29824710,180221
410,411,430.889282226563,80898,3.7046,430.889312744141,29955829,180632
411,440,430.889129638672,89480,3.715045,430.889129638672,30095617,181072
412,432,430.88916015625,82978,3.72556,430.889129638672,30225465,181504
413,554,430.889465332031,80914,3.73603166666667,430.889465332031,30351545,182058
414,527,430.8896484375,63050,3.74657833333333,430.889739990234,30448856,182585
415,407,430.889282226563,82651,3.75711833333333,430.889312744141,30579551,182992
416,481,430.889251708984,89493,3.767515,430.889251708984,30725013,183473
417,405,430.889251708984,88893,3.77799833333333,430.889251708984,30873869,183878
418,447,430.889068603516,90522,3.78852666666667,430.889007568359,31018370,184325
419,410,430.889099121094,85747,3.79898833333333,430.889099121094,31156213,184735
420,433,430.889038085938,84319,3.80948,430.889007568359,31293494,185168
421,449,430.888458251953,95341,3.81996166666667,430.888427734375,31444987,185617
422,408,430.889129638672,77277,3.829925,430.88916015625,31563924,186025
423,353,430.889190673828,89449,3.84034833333333,430.889190673828,31707509,186378
424,438,430.889251708984,110135,3.851165,430.889221191406,31882724,186816
425,418,430.889190673828,100362,3.86133,430.88916015625,32047269,187234
426,383,430.889099121094,88585,3.87189166666667,430.889099121094,32188837,187617
427,437,430.889190673828,90423,3.88233,430.889129638672,32334115,188054
428,488,430.889343261719,111865,3.89282,430.889312744141,32515162,188542
429,370,430.889099121094,97757,3.903325,430.889038085938,32675031,188912
430,379,430.889068603516,97694,3.91384333333333,430.889007568359,32832602,189291
431,568,430.890075683594,56919,3.92438666666667,430.889953613281,32924564,189859
432,447,430.889251708984,87538,3.93477166666667,430.889190673828,33064755,190306
433,480,430.889007568359,106790,3.945275,430.889007568359,33238025,190786
434,527,430.889190673828,69512,3.95580333333333,430.889404296875,33349021,191313
435,565,430.889862060547,73942,3.96626666666667,430.889831542969,33466548,191878
437,359,430.889099121094,100315,3.98027,430.889038085938,33625000,192237
438,371,430.889007568359,92367,3.99028,430.889038085938,33774607,192608
439,434,430.888946533203,99608,4.00073666666667,430.888916015625,33937044,193042
440,412,430.889129638672,100801,4.01120166666667,430.889068603516,34098205,193454
441,504,430.888916015625,110149,4.02170333333333,430.888885498047,34271546,193958
442,468,430.888977050781,101982,4.03224666666667,430.888885498047,34437280,194426
443,498,430.889434814453,71683,4.04271,430.889465332031,34551830,194924
444,606,430.888977050781,52534,4.05316333333333,430.888946533203,34633191,195530
445,615,430.888732910156,49379,4.06289333333333,430.888977050781,34708811,196145
446,574,430.888732910156,50549,4.072705,430.888824462891,34782970,196719
447,572,430.888641357422,48399,4.08239166666667,430.888946533203,34856706,197291
448,553,430.888885498047,57051,4.09215166666667,430.888946533203,34944839,197844
449,501,430.888793945313,49285,4.10174666666667,430.888946533203,35025136,198345
450,548,430.888793945313,53338,4.11149,430.889221191406,35109235,198893
451,713,430.888793945313,45568,4.12110833333333,430.889251708984,35181318,199606
454,622,430.888732910156,46071,4.13808333333333,430.889251708984,35256826,200228
455,651,430.889251708984,40649,4.14735333333333,430.889221191406,35319517,200879
456,362,430.888366699219,114697,4.157,430.888244628906,35502241,201241
457,639,430.888885498047,60881,4.16661166666667,430.889221191406,35593957,201880
459,603,430.888793945313,48088,4.17992333333333,430.889221191406,35670236,202483
